"서울시 기준일","서울시 확진자","서울시 추가 확진","서울시 치료중","서울시 퇴원","서울시 추가 퇴원","서울시 사망","서울시 의심환자 전체","서울시 의심환자 검사중","서울시 의심환자 검사결과(음성)","전국 기준일","전국 확진","전국 추가 확진","전국 치료중","전국 퇴원","전국 사망","전국 의심환자 전체","전국 의심환자 검사중","전국 의심환자 검사결과(음성)","자가격리자 해외입국자 감시중","자가격리자 해외입국자 감시해제","자가격리자 접촉자 감시중","자가격리자 접촉자 감시해제","확인중 확진자","서울시 당일사망자","전국 당일 사망자"
"2022.09.28.00","4818845","7122","0","","","5475","","","","2022.09.28.00","24709789","36159","0","","28318","","","","","","","","0","8","46"
"2022.09.27.00","4811733","8557","0","","","5467","","","","2022.09.27.00","24673663","39425","0","","28272","","","","","","","","0","3","26"
"2022.09.26.00","4803181","2335","0","","","5464","","","","2022.09.26.00","24634296","14168","0","","28246","","","","","","","","0","4","33"
"2022.09.25.00","4800846","4888","0","","","5460","","","","2022.09.25.00","24620128","25792","0","","28213","","","","","","","","0","11","73"
"2022.09.24.00","4795958","5651","0","","","5449","","","","2022.09.24.00","24594336","29353","0","","28140","","","","","","","","0","11","63"
"2022.09.23.00","4790319","5625","0","","","5438","","","","2022.09.23.00","24565021","29108","0","","28077","","","","","","","","0","8","68"
"2022.09.22.00","4784699","6154","0","","","5430","","","","2022.09.22.00","24535940","33009","0","","28009","","","","","","","","0","13","59"
"2022.09.21.00","4778549","7358","0","","","5417","","","","2022.09.21.00","24502968","41286","0","","27950","","","","","","","","0","13","59"
"2022.09.20.00","4771203","9735","0","","","5404","","","","2022.09.20.00","24461737","47917","0","","27891","","","","","","","","0","4","24"
"2022.09.19.00","4761487","3199","0","","","5400","","","","2022.09.19.00","24413873","19407","0","","27867","","","","","","","","0","6","39"
"2022.09.18.00","4758288","5970","0","","","5394","","","","2022.09.18.00","24394466","34764","0","","27828","","","","","","","","0","6","46"
"2022.09.17.00","4752318","7659","0","","","5388","","","","2022.09.17.00","24359702","43457","0","","27782","","","","","","","","0","7","57"
"2022.09.16.00","4744665","9225","0","","","5381","","","","2022.09.16.00","24316302","51874","0","","27725","","","","","","","","0","6","60"
"2022.09.15.00","4735448","11819","0","","","5375","","","","2022.09.15.00","24264470","71471","0","","27665","","","","","","","","0","7","72"
"2022.09.14.00","4723634","17384","0","","","5368","","","","2022.09.14.00","24193038","93981","0","","27593","","","","","","","","0","10","60"
"2022.09.13.00","4706258","9552","0","","","5358","","","","2022.09.13.00","24099134","57309","0","","27533","","","","","","","","0","4","35"
"2022.09.12.00","4696706","6289","0","","","5354","","","","2022.09.12.00","24041825","36938","0","","27498","","","","","","","","0","2","22"
"2022.09.11.00","4690417","4807","0","","","5352","","","","2022.09.11.00","24004887","28214","0","","27476","","","","","","","","0","13","47"
"2022.09.10.00","4685610","6081","0","","","5339","","","","2022.09.10.00","23976673","42724","0","","27429","","","","","","","","0","7","48"
"2022.09.09.00","4679529","12315","0","","","5332","","","","2022.09.09.00","23933949","69410","0","","27381","","","","","","","","0","13","68"
"2022.09.08.00","4667217","13066","0","","","5319","","","","2022.09.08.00","23864560","72646","0","","27313","","","","","","","","0","6","64"
"2022.09.07.00","4654166","14538","0","","","5313","","","","2022.09.07.00","23791961","85540","0","","27249","","","","","","","","0","13","56"
"2022.09.06.00","4639649","18779","0","","","5300","","","","2022.09.06.00","23706477","99837","0","","27193","","","","","","","","0","4","44"
"2022.09.05.00","4620905","5319","0","","","5296","","","","2022.09.05.00","23606740","37548","0","","27149","","","","","","","","0","6","56"
"2022.09.04.00","4615586","11939","0","","","5290","","","","2022.09.04.00","23569192","72144","0","","27093","","","","","","","","0","13","79"
"2022.09.03.00","4603647","13899","0","","","5277","","","","2022.09.03.00","23497048","79746","0","","27014","","","","","","","","0","14","74"
"2022.09.02.00","4589795","15564","0","","","5263","","","","2022.09.02.00","23417425","89586","0","","26940","","","","","","","","0","12","64"
"2022.09.01.00","4574258","13325","0","","","5251","","","","2022.09.01.00","23327897","81573","0","","26876","","","","","","","","0","23","112"
"2022.08.31.00","4560954","15911","0","","","5228","","","","2022.08.31.00","23246398","103961","0","","26764","","","","","","","","0","10","75"
"2022.08.30.00","4545050","20418","0","","","5218","","","","2022.08.30.00","23142479","115638","0","","26689","","","","","","","","0","6","71"
"2022.08.29.00","4524644","5756","0","","","5212","","","","2022.08.29.00","23026960","43142","0","","26618","","","","","","","","0","10","49"
"2022.08.28.00","4518888","13052","0","","","5202","","","","2022.08.28.00","22983818","85295","0","","26569","","","","","","","","0","11","70"
"2022.08.27.00","4505836","14599","0","","","5191","","","","2022.08.27.00","22898523","95604","0","","26499","","","","","","","","0","12","86"
"2022.08.26.00","4491244","15757","0","","","5179","","","","2022.08.26.00","22802985","101140","0","","26413","","","","","","","","0","14","81"
"2022.08.25.00","4475520","17722","0","","","5165","","","","2022.08.25.00","22701921","113371","0","","26332","","","","","","","","0","10","108"
"2022.08.24.00","4457827","20578","0","","","5155","","","","2022.08.24.00","22588640","139339","0","","26224","","","","","","","","0","4","63"
"2022.08.23.00","4437282","25679","0","","","5151","","","","2022.08.23.00","22449475","150258","0","","26161","","","","","","","","0","11","52"
"2022.08.22.00","4411616","7395","0","","","5140","","","","2022.08.22.00","22299377","59046","0","","26109","","","","","","","","0","6","65"
"2022.08.21.00","4404221","16743","0","","","5134","","","","2022.08.21.00","22240331","110944","0","","26044","","","","","","","","0","5","64"
"2022.08.20.00","4387478","19973","0","","","5129","","","","2022.08.20.00","22129387","129411","0","","25980","","","","","","","","0","14","84"
"2022.08.19.00","4367518","21033","0","","","5115","","","","2022.08.19.00","22000037","138812","0","","25896","","","","","","","","0","14","83"
"2022.08.18.00","4346524","28375","0","","","5101","","","","2022.08.18.00","21861296","178574","0","","25813","","","","","","","","0","6","61"
"2022.08.17.00","4318180","32523","0","","","5095","","","","2022.08.17.00","21682816","180803","0","","25752","","","","","","","","0","7","42"
"2022.08.16.00","4285729","13060","0","","","5088","","","","2022.08.16.00","21502164","84128","0","","25710","","","","","","","","0","6","37"
